avg_wind_speed,sol_rad,max_air_temp,min_air_temp,avg_air_temp,avg_rel_hum,avg_dewpt_temp,precip,pot_evapot,avg_soiltemp_4in_sod,OUTPUT
8.7,19.43,85.1,70.3,77.7,68.3,66,0,0.18,72.9,-0.2
6.8,9.27,79.3,61.8,71.6,78.7,64.6,0.2,0.08,71.2,2.2
4.6,27.37,80.3,57.2,69.8,68.5,58.3,0,0.23,71.4,0
4.7,10.45,72.9,59.3,67.5,77.1,59.9,0.14,0.09,71.1,-1.1
4.5,20.56,69.7,56.2,62.6,76.1,54.7,0.05,0.16,70.5,-0.9
4.9,19.21,84.5,61.5,71.2,81.3,64.4,0.05,0.17,72,-1.8
3.6,26.88,75.8,60.3,68.2,73.2,58.6,0.07,0.22,73.4,-2.5
6.4,24.57,79.8,56.2,70.7,69.8,60.1,0,0.21,72.7,-0.7
7.2,15.6,86.4,68.8,75,81.9,68.9,0,0.14,73.4,-0.5
9.8,24.87,76.5,56.9,66.2,62.2,51.6,0.06,0.22,71.4,3.6
7.5,28.1,81,57.7,68.7,53.7,49.5,0.01,0.25,70,7.2
6.5,26.06,73,56.2,64.9,65.1,52.7,0.01,0.22,69.6,5.4
5.2,28.18,75.8,55.8,66.4,61,51.3,0,0.24,70.2,5
3,24.55,76.7,55,66.6,55.7,49.5,0,0.21,70.9,6.6
3,20.59,79.4,59.8,70.9,61.6,56.3,0,0.18,72,8.6
4.7,22.94,81.7,65,72.5,67.1,60.4,0,0.21,72.9,6.3
5.7,27.77,85.4,66.7,76.6,73.3,66.9,0,0.25,75,4.3
6.3,27.17,90.8,71.5,80.4,70.8,69.4,0,0.26,77.2,-0.2
4.8,8.25,75.7,69.9,72.3,84.7,67.3,0.04,0.07,75,1.8
3.9,14.63,84.8,69.6,74.7,86.9,70.3,0.74,0.13,75.2,2.9
5.3,21.45,88.2,71.1,80.2,78.9,72.7,0,0.2,77.5,-0.1
4.4,28.11,88.8,71.5,80.6,67.4,68.2,0,0.26,80.6,-5
5.4,25.05,82.9,66.6,74.8,73.2,65.1,0.11,0.23,79.2,-5.8
